Season,Site,CoreName,CoreNo,TimePt,conc_O2
Winter,IMS,MM,2,4,8.405006491
Winter,IMS,MM,3,4,8.850565876
Winter,IMS,Ref,1,4,8.830226027
Winter,IMS,Ref,2,4,8.855132228
Winter,IMS,Ref,3,4,8.856158106
Winter,IMS,LoRef,1,4,8.933420461
Winter,IMS,HiRef,1,4,8.28342948
Winter,IMS,LO,1,5,8.944127073
Winter,IMS,LO,2,5,8.930479595
Winter,IMS,LO,3,5,8.880832762
Winter,IMS,HO,1,5,8.904766577
Winter,IMS,HO,2,5,8.951164682
Winter,IMS,HO,3,5,8.902726446
Winter,IMS,MM,1,5,8.025346416
Winter,IMS,MM,2,5,8.256841073
Winter,IMS,MM,3,5,8.812747
Winter,IMS,Ref,1,5,8.836932892
Winter,IMS,Ref,2,5,8.851492341
Winter,IMS,Ref,3,5,8.834208537
Winter,IMS,LoRef,1,5,8.961995826
Winter,IMS,HiRef,1,5,8.331301967
Winter,Carrot,LO,1,1,9.427928809
Winter,Carrot,LO,2,1,9.21661141
Winter,Carrot,LO,3,1,8.816453879
Winter,Carrot,HO,1,1,9.709396008
Winter,Carrot,HO,2,1,
Winter,Carrot,HO,3,1,7.877379703
Winter,Carrot,LM,1,1,9.655641219
Winter,Carrot,LM,2,1,9.609929598
Winter,Carrot,LM,3,1,9.67451082
Winter,Carrot,MM,1,1,9.649490727
Winter,Carrot,MM,2,1,9.658765087
Winter,Carrot,MM,3,1,9.431135355
Winter,Carrot,HM,1,1,9.608020163
Winter,Carrot,HM,2,1,9.527385254
Winter,Carrot,HM,3,1,9.271213275
Winter,Carrot,Ref,1,1,9.696064445
Winter,Carrot,Ref,2,1,9.74236492
Winter,Carrot,Ref,3,1,9.68854106
Winter,Carrot,LoRef,1,1,9.643759816
Winter,Carrot,HiRef,1,1,9.544609639
Winter,Carrot,LO,1,2,9.320665606
Winter,Carrot,LO,2,2,9.175557071
Winter,Carrot,LO,3,2,8.875871035
Winter,Carrot,HO,1,2,9.720473848
Winter,Carrot,HO,2,2,
Winter,Carrot,HO,3,2,8.012828825
Winter,Carrot,LM,1,2,9.667621789
Winter,Carrot,LM,2,2,9.584983587
Winter,Carrot,LM,3,2,9.652001243
Winter,Carrot,MM,1,2,9.668811364
Winter,Carrot,MM,2,2,9.723717895
Winter,Carrot,MM,3,2,9.474476504
Winter,Carrot,HM,1,2,9.736785786
Winter,Carrot,HM,2,2,9.509702216
Winter,Carrot,HM,3,2,9.217595802
Winter,Carrot,Ref,1,2,9.718373698
Winter,Carrot,Ref,2,2,9.732720387
Winter,Carrot,Ref,3,2,9.665605383
Winter,Carrot,LoRef,1,2,9.563702327
Winter,Carrot,HiRef,1,2,9.543711833
Winter,Carrot,LO,1,3,9.495305933
Winter,Carrot,LO,2,3,9.319125639
Winter,Carrot,LO,3,3,8.968814564
Winter,Carrot,HO,1,3,9.713853534
Winter,Carrot,HO,2,3,
Winter,Carrot,HO,3,3,8.18343642
Winter,Carrot,LM,1,3,9.684135873
Winter,Carrot,LM,2,3,9.581982722
Winter,Carrot,LM,3,3,9.673701474
Winter,Carrot,MM,1,3,9.66510217
Winter,Carrot,MM,2,3,9.708855429
Winter,Carrot,MM,3,3,9.397732759
Winter,Carrot,HM,1,3,9.724148524
Winter,Carrot,HM,2,3,9.537918945
Winter,Carrot,HM,3,3,9.303862095
Winter,Carrot,Ref,1,3,9.698877859
Winter,Carrot,Ref,2,3,9.760241173
Winter,Carrot,Ref,3,3,9.650068734
Winter,Carrot,LoRef,1,3,9.604992811
Winter,Carrot,HiRef,1,3,9.591174237
Winter,Carrot,LO,1,4,9.273880852
Winter,Carrot,LO,2,4,9.30505356
Winter,Carrot,LO,3,4,8.929784293
Winter,Carrot,HO,1,4,9.654414856
Winter,Carrot,HO,2,4,
Winter,Carrot,HO,3,4,8.049091166
Winter,Carrot,LM,1,4,9.616084106
Winter,Carrot,LM,2,4,9.516151927
